nombre	precio	categoria	disponible	descripcion	imagen_url
Nube de Amor	$183,750	Rosas	Sí	Bouquet etéreo con rosas blancas y rosadas, gerbera central y abundante gypsophila rosada envuelto en papel rosa con tarjeta personalizada. Expresa amor puro en presentación soñada y romántica.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_27.webp
Reina Rojo Pasión	$183,750	Rosas	Sí	Bouquet majestuoso con 24 rosas rojas, corona dorada decorativa y broche de pedrería sobre papel negro con lazo. Arreglo digno de una reina que transmite amor profundo, nobleza y pasión eterna.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_29.webp
Corazón Vibrante	$183,750	Gerberas	Sí	Corazón espectacular con 40 gerberas multicolor. Diseño que desborda alegría y buenos deseos en forma que simboliza amor puro. Perfecto para sorprender con energía positiva natural.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_1.webp
Eternidad Mariana	$195,000	Especiales	Sí	Rosa Inmortalizada en intenso fucsia bajo elegante cúpula de cristal acompañada de la imagen de la Virgen María, símbolo perfecto de fe y amor maternal. Una pieza atemporal que conserva su belleza por años para honrar a esa madre que ilumina tu vida.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_30.webp
Corazón de Ternura Premium	$196,875	Especiales	Sí	Imponente arreglo en forma de corazón con rosas rojas y rosadas, oso de peluche con corazón y bombones Ferrero Rocher distribuidos por toda la pieza. Un detalle inolvidable que reúne ternura, dulzura y romance en un solo regalo memorable.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_37.webp
Sorpresa Inolvidable	$229,687	Rosas	Sí	Regala una explosión de felicidad con rosas rojas y blancas, frutas frescas y un globo personalizado que convertirá su cumpleaños en un recuerdo que jamás olvidará	https://floristeriapereira.dondeseria.com/assets/flores_pereira_18.webp
Jardín de los Tres	$242,812	Rosas	Sí	Ramo premium con 30 rosas, 6 lirios, 6 astromelias, follaje decorativo, papel coreano y moño. Fusión perfecta de tres bellezas florales que transmiten amor completo y refinado.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_4.webp
Sorpresa de Ternura	$249,375	Especiales	Sí	Caja premium con oso de peluche de 35-40 cm, 20 rosas rosadas, 4 chocolates Ferrero Rocher y globos decorativos. El regalo perfecto que combina dulzura, romance y sorpresa inolvidable.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_22.webp
Explosión Solar	$295,312	Girasoles	Sí	Arreglo espectacular con 23 girasoles, 20 claveles, follaje y decoración abundante. Diseño que desborda luz, alegría y energía positiva en presentación de máximo impacto visual memorable.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_13.webp
Constelación Dorada	$301,875	Girasoles	Sí	Bouquet abundante con 6 girasoles, 38 rosas, dos especies de follajes, papel coreano y moño en cinta satín. Diseño que combina fuerza solar con pasión desbordante siempre.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_3.webp
Ramo Tulipanes Ternura Rosa	$362,500	Especiales	Sí	Delicado ramo de tulipanes rosados acompañados de gypsophila y envuelto en finos papeles con mensajes de felicidad. Un regalo fresco y elegante que transmite cariño sincero, ideal para cumpleaños, aniversarios y ocasiones especiales.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_44.png
Corona de Pasión	$446,250	Rosas	Sí	Arreglo premium con 80 rosas en dos colores, corona decorativa y presentación espectacular. Simboliza amor que reina supremo con elegancia natural que conquista desde primer vistazo.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_17.webp
Centenario de Pasión	$525,000	Rosas	Sí	Ramo monumental de 100 rosas con follaje y decoración premium. Representa amor grande, intenso y sin límites en presentación que deja huella imborrable en el alma eternamente.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_14.webp
Cien Razones	$564,375	Rosas	Sí	Bouquet majestuoso con 100 rosas, follaje y decoración sofisticada. Cada rosa simboliza una razón para amar en arreglo que transmite sentimientos supremos con belleza natural absoluta.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_15.webp
Corazón Centenario Cumpleañero	$625,000	Rosas	Sí	Imponente bouquet en forma de corazón con cerca de 100 rosas rojas premium, envuelto en papel negro con ribetes dorados y coronado por un cintillo satinado con la inscripción dorada "Feliz Cumpleaños". El regalo definitivo para una celebración inolvidable.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_43.webp
Orquídea Elegante	Consultar precio	Especiales	Sí	Elegante planta de orquídea phalaenopsis blanca con dos varas florecidas, envuelta en papel lila y lazo dorado. Regalo sofisticado y duradero que simboliza belleza, fortaleza y elegancia atemporal.	https://floristeriapereira.dondeseria.com/assets/flores_pereira_25.webp
